0.000000	17.019255	n
0.988978	1.242612	h
1.278083	1.447401	b
1.496558	1.644029	b
1.731420	1.851581	b
4.189271	4.325818	b
5.106869	5.554744	mb
6.013543	6.122781	b
6.816441	6.931141	b
7.253392	7.799581	mb
7.848738	7.968900	b
10.546913	10.677998	b
13.026612	13.425330	mb
17.068412	17.215883	b
17.254116	21.765377	n
17.625525	17.844000	mb
19.018307	19.160316	b
20.580408	20.695108	b
21.922200	42.646230	n
34.082204	34.213290	b
35.655229	35.775391	b
40.472618	40.603703	b
42.760451	58.731722	n
45.929048	46.279443	mb
47.332754	47.671391	mb
47.780629	48.250352	mb
49.353654	49.861784	mb
50.063700	50.200247	b
50.309485	50.462418	b
50.817441	52.821955	h
53.546365	53.735117	b
54.171042	54.433213	mb
54.531527	54.673536	b
55.804148	55.940695	b
57.034331	57.144436	b
57.293864	57.453639	mb
57.666653	57.792276	b
58.182568	58.305694	b
58.752754	59.332530	h
59.510227	59.599841	b
60.048038	60.326594	b
60.370289	60.648846	mb
60.714389	60.872783	b
61.003869	61.140416	b
62.030704	62.145404	b
62.221871	62.331109	b
62.462194	62.598741	b
62.636974	62.740750	b
62.828141	62.964688	b
63.035038	63.151204	b
63.199549	63.303325	b
63.303325	68.710598	n
63.893210	64.171766	mb
65.499006	65.613705	b
65.657401	65.788486	b
65.788486	65.952343	b
66.225437	66.695160	mb
66.744317	66.880864	b
67.181268	67.312354	b
67.345125	67.481672	b
67.569063	67.793000	b
67.793000	68.006014	mb
68.077019	68.213566	b
68.240875	68.371961	b
68.639593	68.825298	b
68.760367	73.915781	n
69.000078	69.147549	b
69.531235	69.988408	mb
70.130690	70.256313	b
70.392861	70.513022	b
70.540332	70.638646	b
70.753346	70.878969	b
71.157526	71.501625	mb
71.599939	71.791105	b
72.020504	72.331832	mb
72.572156	73.140192	h
73.964938	74.150642	b
74.194337	83.872810	n
77.269382	77.415532	b
77.487858	77.744567	mb
77.924809	78.563851	mb
78.858793	79.219278	mb
80.213342	80.333504	b
82.895131	83.270752	mb
83.610639	83.747186	b
84.375304	84.604703	mb
84.894183	85.183664	mb
85.271054	85.708005	mb
85.981100	86.161342	b
86.445361	86.581908	b
86.986088	87.139021	b
87.259182	87.455810	mb
87.477658	87.652439	b
87.717981	87.838157	b
87.881838	88.138547	mb
88.176780	88.362485	mb
88.384332	88.509956	b
88.559113	88.701122	b
88.842846	91.219054	h
